Index,DataSource,ImageDate,Latitude,Longitude,PRUID,PROV_TERR,CSDUID
137,Ontario Ministry of Natural Resources and Forestry,2020,42.99116095,-79.35970459,35,Ontario,3526028
138,Ontario Ministry of Natural Resources and Forestry,2020,43.22663039,-79.1299963,35,Ontario,3526047
139,Ontario Ministry of Natural Resources and Forestry,2020,43.22638928,-79.12934976,35,Ontario,3526047
140,Ontario Ministry of Natural Resources and Forestry,2020,43.15423068,-79.10666924,35,Ontario,3526047
141,Ontario Ministry of Natural Resources and Forestry,2020,43.19808021,-79.54954716,35,Ontario,3526065
142,Ontario Ministry of Natural Resources and Forestry,2020,43.19775496,-79.55134202,35,Ontario,3526065
143,Ontario Ministry of Natural Resources and Forestry,2020,43.19733062,-79.55012421,35,Ontario,3526065
144,Ontario Ministry of Natural Resources and Forestry,2020,43.19751107,-79.55070049,35,Ontario,3526065
145,Ontario Ministry of Natural Resources and Forestry,2020,43.1774531,-79.38808372,35,Ontario,3526057
146,Ontario Ministry of Natural Resources and Forestry,2020,43.17315663,-79.37552159,35,Ontario,3526057
147,Ontario Ministry of Natural Resources and Forestry,2020,43.15368905,-79.10688767,35,Ontario,3526047
148,Ontario Ministry of Natural Resources and Forestry,2020,43.15398496,-79.10527456,35,Ontario,3526047
149,Ontario Ministry of Natural Resources and Forestry,2020,43.17613093,-79.29219895,35,Ontario,3526053
150,Ontario Ministry of Natural Resources and Forestry,2020,43.17599161,-79.29095795,35,Ontario,3526053
151,Ontario Ministry of Natural Resources and Forestry,2020,43.17522948,-79.29064156,35,Ontario,3526053
152,Ontario Ministry of Natural Resources and Forestry,2020,43.17541855,-79.29064511,35,Ontario,3526053
153,Ontario Ministry of Natural Resources and Forestry,2020,43.17558974,-79.29065186,35,Ontario,3526053
154,Ontario Ministry of Natural Resources and Forestry,2020,43.17573783,-79.29098005,35,Ontario,3526053
155,Ontario Ministry of Natural Resources and Forestry,2020,43.17560401,-79.29012297,35,Ontario,3526053
156,Ontario Ministry of Natural Resources and Forestry,2020,43.17560927,-79.2899312,35,Ontario,3526053
157,Ontario Ministry of Natural Resources and Forestry,2020,43.17584961,-79.29097311,35,Ontario,3526053
158,Ontario Ministry of Natural Resources and Forestry,2020,43.17569373,-79.28955688,35,Ontario,3526053
159,Ontario Ministry of Natural Resources and Forestry,2020,43.17588388,-79.28964565,35,Ontario,3526053
160,Ontario Ministry of Natural Resources and Forestry,2020,43.18337334,-79.29664496,35,Ontario,3526053
161,Ontario Ministry of Natural Resources and Forestry,2020,43.18401469,-79.29674352,35,Ontario,3526053
162,Ontario Ministry of Natural Resources and Forestry,2020,43.18486624,-79.29080352,35,Ontario,3526053
163,Ontario Ministry of Natural Resources and Forestry,2020,43.1876122,-79.29347643,35,Ontario,3526053
164,Ontario Ministry of Natural Resources and Forestry,2020,43.19048439,-79.2930816,35,Ontario,3526053
165,Ontario Ministry of Natural Resources and Forestry,2020,43.18843091,-79.28691255,35,Ontario,3526053
166,Ontario Ministry of Natural Resources and Forestry,2020,43.18922837,-79.28711499,35,Ontario,3526053
167,Ontario Ministry of Natural Resources and Forestry,2020,43.17755442,-79.3138324,35,Ontario,3526053
168,Ontario Ministry of Natural Resources and Forestry,2020,43.17660328,-79.33074014,35,Ontario,3526057
169,Ontario Ministry of Natural Resources and Forestry,2020,43.1752843,-79.33068777,35,Ontario,3526057
170,Ontario Ministry of Natural Resources and Forestry,2020,43.17465914,-79.33105079,35,Ontario,3526057
171,Ontario Ministry of Natural Resources and Forestry,2020,43.17264487,-79.34458037,35,Ontario,3526057
172,Ontario Ministry of Natural Resources and Forestry,2020,43.17786076,-79.35195764,35,Ontario,3526057
173,Ontario Ministry of Natural Resources and Forestry,2020,43.17694101,-79.35426517,35,Ontario,3526057
174,Ontario Ministry of Natural Resources and Forestry,2020,43.17700853,-79.35330626,35,Ontario,3526057
175,Ontario Ministry of Natural Resources and Forestry,2020,43.1766272,-79.35264425,35,Ontario,3526057
176,Ontario Ministry of Natural Resources and Forestry,2020,43.17714843,-79.35200212,35,Ontario,3526057
177,Ontario Ministry of Natural Resources and Forestry,2020,43.17056449,-79.36309604,35,Ontario,3526057
178,Ontario Ministry of Natural Resources and Forestry,2020,43.16835069,-79.36288995,35,Ontario,3526057
179,Ontario Ministry of Natural Resources and Forestry,2020,43.16840637,-79.36172446,35,Ontario,3526057
180,Ontario Ministry of Natural Resources and Forestry,2020,43.17236098,-79.38792647,35,Ontario,3526057
181,Ontario Ministry of Natural Resources and Forestry,2020,43.17168676,-79.38764446,35,Ontario,3526057
182,Ontario Ministry of Natural Resources and Forestry,2020,43.17156214,-79.38932077,35,Ontario,3526057
183,Ontario Ministry of Natural Resources and Forestry,2020,43.17182135,-79.38991517,35,Ontario,3526057
184,Ontario Ministry of Natural Resources and Forestry,2020,43.16953184,-79.39027276,35,Ontario,3526057
185,Ontario Ministry of Natural Resources and Forestry,2020,43.1667211,-79.39241393,35,Ontario,3526057
186,Ontario Ministry of Natural Resources and Forestry,2020,43.16465944,-79.37671828,35,Ontario,3526057
187,Ontario Ministry of Natural Resources and Forestry,2020,43.16344539,-79.37718665,35,Ontario,3526057
188,Ontario Ministry of Natural Resources and Forestry,2020,43.16345138,-79.37708024,35,Ontario,3526057
189,Ontario Ministry of Natural Resources and Forestry,2020,43.16345477,-79.37697632,35,Ontario,3526057
190,Ontario Ministry of Natural Resources and Forestry,2020,43.16346214,-79.37687087,35,Ontario,3526057
191,Ontario Ministry of Natural Resources and Forestry,2020,43.16346408,-79.37676592,35,Ontario,3526057
192,Ontario Ministry of Natural Resources and Forestry,2020,43.16347008,-79.37666083,35,Ontario,3526057
193,Ontario Ministry of Natural Resources and Forestry,2020,43.16347337,-79.37655586,35,Ontario,3526057
